transaction_id,order_id,expected_settlement_amount,received_amount,ledger_status,ledger_timestamp
TXN-00060,ORD-00060,23129.25,23129.25,COMPLETE,2026-09-03 20:19:00
TXN-00061,ORD-00061,10227.05,9927.05,MISMATCH,
TXN-00062,ORD-00062,18696.0,0.0,PENDING,
TXN-00063,ORD-00063,8932.99,0.0,PENDING,
TXN-00064,ORD-00064,22796.38,22796.38,COMPLETE,2026-09-03 15:47:00
TXN-00065,ORD-00065,14370.78,14370.78,COMPLETE,2026-09-05 05:36:00
TXN-00066,ORD-00066,13059.21,12759.21,MISMATCH,
TXN-00067,ORD-00067,3680.93,3680.93,COMPLETE,2026-09-04 10:25:00
TXN-00068,ORD-00068,24017.21,24017.21,COMPLETE,2026-09-06 08:13:00
TXN-00069,ORD-00069,21356.58,21356.58,COMPLETE,2026-09-02 09:14:00
TXN-00070,ORD-00070,14951.38,14651.38,MISMATCH,
TXN-00071,ORD-00071,7704.52,0.0,PENDING,
TXN-00072,ORD-00072,5012.55,5012.55,COMPLETE,2026-09-03 11:53:00
TXN-00073,ORD-00073,13334.7,13334.7,COMPLETE,2026-09-02 05:08:00
TXN-00074,ORD-00074,5545.08,5545.08,COMPLETE,2026-09-03 02:10:00
TXN-00075,ORD-00075,1175.97,1175.97,COMPLETE,2026-09-03 12:17:00
TXN-00076,ORD-00076,1240.49,1240.49,COMPLETE,2026-09-05 18:02:00
TXN-00077,ORD-00077,20384.91,20084.91,MISMATCH,
TXN-00078,ORD-00078,11433.3,11433.3,COMPLETE,2026-09-04 14:20:00
TXN-00079,ORD-00079,12236.84,12236.84,COMPLETE,2026-09-05 01:28:00
TXN-00080,ORD-00080,11251.89,11251.89,COMPLETE,2026-09-06 08:20:00
TXN-00081,ORD-00081,9969.12,9969.12,COMPLETE,2026-09-03 14:58:00
TXN-00082,ORD-00082,21203.61,21203.61,REVIEW,
TXN-00083,ORD-00083,19316.51,19316.51,REVIEW,
TXN-00084,ORD-00084,1889.32,1889.32,COMPLETE,2026-09-03 09:34:00
TXN-00085,ORD-00085,22139.37,22139.37,COMPLETE,2026-09-04 08:46:00
TXN-00086,ORD-00086,8235.86,0.0,PENDING,
TXN-00087,ORD-00087,5207.25,5207.25,COMPLETE,2026-09-03 04:03:00
TXN-00088,ORD-00088,16124.36,16124.36,COMPLETE,2026-09-03 08:07:00
TXN-00089,ORD-00089,10272.68,0.0,PENDING,
TXN-00090,ORD-00090,23541.52,23541.52,COMPLETE,2026-09-05 13:49:00
TXN-00091,ORD-00091,15635.87,15635.87,COMPLETE,2026-09-06 07:30:00
TXN-00092,ORD-00092,22580.23,0.0,PENDING,
TXN-00093,ORD-00093,13247.74,0.0,PENDING,
TXN-00094,ORD-00094,24409.72,24409.72,REVIEW,
TXN-00095,ORD-00095,24227.32,14536.39,PARTIAL,
TXN-00096,ORD-00096,17911.89,8955.94,PARTIAL,
TXN-00097,ORD-00097,10498.45,10498.45,COMPLETE,2026-09-03 20:10:00
TXN-00098,ORD-00098,8501.81,0.0,PENDING,
TXN-00099,ORD-00099,10918.62,0.0,PENDING,
TXN-00100,ORD-00100,1432.95,1432.95,COMPLETE,2026-09-05 03:40:00
