transaction_id,order_id,merchant_id,merchant_name,gross_amount,platform_fee,tax_on_fee,net_settlement_amount,payment_status,gateway_timestamp,settlement_id,utr
TXN-00049,ORD-00049,MER-EZDUXLEZ,"Sunder, Biswas and Walia",24999.42,374.99,67.5,24556.93,SUCCESS,2026-09-01 14:02:00,SET-0005,UTR-896DYSAL8M1G
TXN-00050,ORD-00050,MER-45BM1ENF,Dave Ltd,13396.88,241.14,43.41,13112.33,SUCCESS,2026-09-04 12:18:00,SET-0005,UTR-313FPOYIPK0Q
TXN-00051,ORD-00051,MER-12SPFHV5,Gandhi-Lanka,2383.67,35.76,6.44,2341.47,SUCCESS,2026-09-04 14:57:00,SET-0006,UTR-BRN7ZSEDFQS3
TXN-00052,ORD-00052,MER-BSI9NB74,"Sampath, Kakar and Zacharia",20890.58,417.81,75.21,20397.56,SUCCESS,2026-09-04 10:53:00,SET-0006,UTR-X2EK3ZEZQACJ
TXN-00053,ORD-00053,MER-KBP2QD6V,"Iyer, Muni and Rastogi",13198.88,263.98,47.52,12887.38,SUCCESS,2026-09-01 15:39:00,SET-0006,UTR-ASIFPWIOXD9C
TXN-00054,ORD-00054,MER-9JA2M0W1,"Prakash, Sarma and Varughese",19427.14,349.69,62.94,19014.51,SUCCESS,2026-09-01 14:00:00,SET-0006,UTR-0LBT3G2QZW3C
TXN-00055,ORD-00055,MER-25LLO3RB,Dara-Kota,4751.75,95.03,17.11,4639.61,SUCCESS,2026-09-04 15:16:00,SET-0006,UTR-XK5BXJ2POP8M
TXN-00056,ORD-00056,MER-20CV3TLC,Bhatt LLC,23702.82,355.54,64.0,23283.28,SUCCESS,2026-09-04 15:12:00,SET-0006,UTR-XLVPYMB5M9J9
TXN-00057,ORD-00057,MER-YPEIXN8B,Karpe PLC,12991.86,259.84,46.77,12685.25,SUCCESS,2026-09-01 13:28:00,SET-0006,UTR-FQNPCENLK8AG
TXN-00058,ORD-00058,MER-HWY9HECG,Amble Inc,17535.46,263.03,47.35,17225.08,SUCCESS,2026-09-03 17:40:00,SET-0006,UTR-Z9389YZTKKFZ
TXN-00059,ORD-00059,MER-92IRMUQ9,"Bhargava, Karnik and Bir",11699.25,233.99,42.12,11423.14,SUCCESS,2026-09-03 11:11:00,SET-0006,UTR-E5COZROOUELC
TXN-00060,ORD-00060,MER-P6BEFFLZ,Narayanan Inc,23546.01,353.19,63.57,23129.25,SUCCESS,2026-09-02 20:14:00,SET-0006,UTR-M764JWTEKTSG
TXN-00061,ORD-00061,MER-B5C81JHU,"Khanna, Mallick and Sunder",10448.98,188.08,33.85,10227.05,SUCCESS,2026-09-02 14:48:00,SET-0007,UTR-WB6TXKI3OQYF
TXN-00062,ORD-00062,MER-049ENULQ,Zacharia and Sons,19101.72,343.83,61.89,18696.0,SUCCESS,2026-09-04 17:30:00,SET-0007,UTR-JIDKNWI5FLUL
TXN-00063,ORD-00063,MER-DOQIVBKV,"Solanki, Kibe and Solanki",9126.84,164.28,29.57,8932.99,SUCCESS,2026-09-01 15:35:00,SET-0007,UTR-4YKADEJNOBBU
TXN-00064,ORD-00064,MER-3WVEDN9U,Gupta-Chandra,23291.08,419.24,75.46,22796.38,SUCCESS,2026-09-02 15:42:00,SET-0007,UTR-NFVOBBZ2SF6F
TXN-00065,ORD-00065,MER-M3TZK3NY,Sankar LLC,14629.73,219.45,39.5,14370.78,SUCCESS,2026-09-04 11:31:00,SET-0007,UTR-9V20YAR821UZ
TXN-00066,ORD-00066,MER-UZGPPOHS,Roy-Sibal,13374.86,267.5,48.15,13059.21,SUCCESS,2026-09-03 20:32:00,SET-0007,UTR-WQ40ZSU9RN8Q
TXN-00067,ORD-00067,MER-8KK791ZY,"Bhagat, Chaudhari and Bhat",3747.26,56.21,10.12,3680.93,SUCCESS,2026-09-03 10:20:00,SET-0007,UTR-RRU7ZKUT6OM1
TXN-00068,ORD-00068,MER-X0H3JUJD,Nori-Chopra,24449.98,366.75,66.02,24017.21,SUCCESS,2026-09-04 20:08:00,SET-0007,UTR-0IB6IIDLRYE8
TXN-00069,ORD-00069,MER-X1KKC1XI,Handa and Sons,21820.04,392.76,70.7,21356.58,SUCCESS,2026-09-01 09:09:00,SET-0007,UTR-04B7P47B42G0
TXN-00070,ORD-00070,MER-V7MQXS6E,"Sen, Dey and Sami",15312.77,306.26,55.13,14951.38,SUCCESS,2026-09-04 16:17:00,SET-0007,UTR-SJ3L0XZAMKYG
TXN-00071,ORD-00071,MER-GFLIJI18,Mallick Group,7843.35,117.65,21.18,7704.52,SUCCESS,2026-09-03 15:16:00,SET-0008,UTR-K0AXYCELOS6Z
TXN-00072,ORD-00072,MER-RQ9NZ612,Borra Group,5133.7,102.67,18.48,5012.55,SUCCESS,2026-09-02 11:48:00,SET-0008,UTR-31YV2STN7E36
TXN-00073,ORD-00073,MER-PYZR6QCE,"Chaudhari, Bedi and Zachariah",13574.97,203.62,36.65,13334.7,SUCCESS,2026-09-01 17:03:00,SET-0008,UTR-OUUYLAJAHCPZ
TXN-00074,ORD-00074,MER-O119XP9N,Chander and Sons,5644.99,84.67,15.24,5545.08,SUCCESS,2026-09-01 14:05:00,SET-0008,UTR-56NYXTXMGTT0
TXN-00075,ORD-00075,MER-PNIQFG51,Ray Group,1201.49,21.63,3.89,1175.97,SUCCESS,2026-09-02 18:12:00,SET-0008,UTR-BXW76ICVQY5I
TXN-00076,ORD-00076,MER-F9I6UU13,Kala-Rattan,1267.41,22.81,4.11,1240.49,SUCCESS,2026-09-04 17:57:00,SET-0008,UTR-I59SOJUV0GYU
TXN-00077,ORD-00077,MER-OKGTII4F,Gala Group,20752.22,311.28,56.03,20384.91,SUCCESS,2026-09-03 15:26:00,SET-0008,UTR-QCOOTNJLCQNT
TXN-00078,ORD-00078,MER-2VYHH6K6,Ramakrishnan LLC,11709.64,234.19,42.15,11433.3,SUCCESS,2026-09-03 14:15:00,SET-0008,UTR-HG0016ZZOILK
TXN-00079,ORD-00079,MER-SRD9Q46N,Mangal-Sampath,12532.61,250.65,45.12,12236.84,SUCCESS,2026-09-03 13:23:00,SET-0008,UTR-OUHFJ7UPFLN4
TXN-00080,ORD-00080,MER-Q0MFTG69,"Sur, Dubey and Gupta",11454.64,171.82,30.93,11251.89,SUCCESS,2026-09-04 20:15:00,SET-0008,UTR-8S4C3BAEWCFH
TXN-00081,ORD-00081,MER-ATATJ9A3,Kalla-Bhardwaj,10210.08,204.2,36.76,9969.12,SUCCESS,2026-09-02 20:53:00,SET-0009,UTR-Y36DDFGS3JON
TXN-00082,ORD-00082,MER-Y4X41DNT,"Bhat, Murthy and Bhandari",21716.11,434.32,78.18,21203.61,SUCCESS,2026-09-04 13:37:00,SET-0009,UTR-RRU7ZKUT6OM1
TXN-00083,ORD-00083,MER-YKTXG4AH,Sood PLC,19783.4,395.67,71.22,19316.51,SUCCESS,2026-09-01 17:32:00,SET-0009,UTR-SEMCIKPTK93T
TXN-00084,ORD-00084,MER-DICVWV8L,"Dugar, Bhandari and Trivedi",1930.32,34.75,6.25,1889.32,SUCCESS,2026-09-02 15:29:00,SET-0009,UTR-W2QITNGVN1KI
TXN-00085,ORD-00085,MER-LDALMJEG,Grewal Inc,22538.29,338.07,60.85,22139.37,SUCCESS,2026-09-02 20:41:00,SET-0009,UTR-QTOAMDVLNKND
TXN-00086,ORD-00086,MER-EKRCPPRC,"Bir, Keer and Raval",8434.93,168.7,30.37,8235.86,SUCCESS,2026-09-02 14:07:00,SET-0009,UTR-JIWVHDK8LW2L
TXN-00087,ORD-00087,MER-RGOL0W82,Koshy PLC,5320.25,95.76,17.24,5207.25,SUCCESS,2026-09-01 15:58:00,SET-0009,UTR-LK2N7H9G1A07
TXN-00088,ORD-00088,MER-WIXZ2C9R,"Baral, Bumb and Saini",16474.28,296.54,53.38,16124.36,SUCCESS,2026-09-02 20:02:00,SET-0009,UTR-OS7YT2M6TWD1
TXN-00089,ORD-00089,MER-9YO18PAJ,"Virk, Mutti and Lal",10457.79,156.87,28.24,10272.68,SUCCESS,2026-09-01 11:25:00,SET-0009,UTR-SSUUQO1VSMAD
TXN-00090,ORD-00090,MER-LQHRRPZL,Murthy and Sons,23965.72,359.49,64.71,23541.52,SUCCESS,2026-09-04 19:44:00,SET-0009,UTR-K3E4XYF9IGFU
TXN-00091,ORD-00091,MER-XPBWHVNZ,Randhawa-Deep,16013.8,320.28,57.65,15635.87,SUCCESS,2026-09-04 19:25:00,SET-0010,UTR-H13CD5GLQJ5S
TXN-00092,ORD-00092,MER-EMQGY27V,"Mital, Shankar and Mutti",22987.11,344.81,62.07,22580.23,SUCCESS,2026-09-02 17:21:00,SET-0010,UTR-YLIENFNVUPRT
TXN-00093,ORD-00093,MER-FLQBMAE3,Andra Group,13486.45,202.3,36.41,13247.74,SUCCESS,2026-09-04 18:39:00,SET-0010,UTR-8SRYO4RCB1KJ
TXN-00094,ORD-00094,MER-TEE13N3B,"Chaudhry, Borah and Yogi",24849.55,372.74,67.09,24409.72,SUCCESS,2026-09-02 19:02:00,SET-0010,UTR-FQNPCENLK8AG
TXN-00095,ORD-00095,MER-WFFHHCMK,Toor LLC,24812.91,496.26,89.33,24227.32,SUCCESS,2026-09-02 20:58:00,SET-0010,UTR-TLZKJ49YD827
TXN-00096,ORD-00096,MER-Z31YRUJO,Palla Inc,18344.83,366.9,66.04,17911.89,SUCCESS,2026-09-04 19:50:00,SET-0010,UTR-QW5DSK7N8LA1
TXN-00097,ORD-00097,MER-O83RLKTE,Pingle LLC,10752.2,215.04,38.71,10498.45,SUCCESS,2026-09-02 20:05:00,SET-0010,UTR-4261BW4A7FQ9
TXN-00098,ORD-00098,MER-55DMCXXB,Sarma PLC,8655.0,129.82,23.37,8501.81,SUCCESS,2026-09-04 20:50:00,SET-0010,UTR-W01PDDHCVSQA
TXN-00099,ORD-00099,MER-ID3DNKN3,"Mittal, Wadhwa and Anand",11115.36,166.73,30.01,10918.62,SUCCESS,2026-09-01 10:42:00,SET-0010,UTR-5XYCUVFMH07W
TXN-00100,ORD-00100,MER-1VN8LFJD,"Mistry, Chawla and Desai",1458.77,21.88,3.94,1432.95,SUCCESS,2026-09-04 15:35:00,SET-0010,UTR-TVV2Y4XKSS0K
